Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug
b128,0,45.0,0,Capomulin
f932,0,45.0,0,Ketapril
g107,0,45.0,0,Ketapril
a457,0,45.0,0,Ketapril
c819,0,45.0,0,Ketapril
h246,0,45.0,0,Ketapril
p189,0,45.0,0,Ketapril
n923,0,45.0,0,Ketapril
q119,0,45.0,0,Ketapril
f993,0,45.0,0,Naftisol
z234,0,45.0,0,Naftisol
b559,0,45.0,0,Naftisol
y260,0,45.0,0,Ketapril
x930,0,45.0,0,Naftisol
o725,0,45.0,0,Naftisol
z969,0,45.0,0,Naftisol
v835,0,45.0,0,Naftisol
r604,0,45.0,0,Naftisol
n304,0,45.0,0,Naftisol
l700,0,45.0,0,Naftisol
x336,0,45.0,0,Naftisol
l725,0,45.0,0,Naftisol
m133,0,45.0,0,Naftisol
v295,0,45.0,0,Naftisol
a818,0,45.0,0,Naftisol
y601,0,45.0,0,Naftisol
t724,0,45.0,0,Naftisol
k382,0,45.0,0,Ketapril
w422,0,45.0,0,Ketapril
c326,0,45.0,0,Infubinol
c139,0,45.0,0,Infubinol
v339,0,45.0,0,Infubinol
a577,0,45.0,0,Infubinol
y163,0,45.0,0,Infubinol
k483,0,45.0,0,Infubinol
k804,0,45.0,0,Infubinol
o809,0,45.0,0,Infubinol
z581,0,45.0,0,Infubinol
a251,0,45.0,0,Infubinol
i386,0,45.0,0,Infubinol
c580,0,45.0,0,Ketapril
q132,0,45.0,0,Infubinol
u327,0,45.0,0,Ketapril
v603,0,45.0,0,Ketapril
f278,0,45.0,0,Ketapril
g497,0,45.0,0,Ketapril
d474,0,45.0,0,Ketapril
o973,0,45.0,0,Ketapril
c832,0,45.0,0,Ketapril
o331,0,45.0,0,Ketapril
m650,0,45.0,0,Ketapril
v289,0,45.0,0,Ketapril
m550,0,45.0,0,Ketapril
h428,0,45.0,0,Ketapril
r701,0,45.0,0,Naftisol
v199,0,45.0,0,Naftisol
x264,0,45.0,0,Naftisol
f234,0,45.0,0,Stelasyn
c458,0,45.0,0,Ramicane
q610,0,45.0,0,Ramicane
j913,0,45.0,0,Ramicane
a411,0,45.0,0,Ramicane
a444,0,45.0,0,Ramicane
d251,0,45.0,0,Ramicane
j989,0,45.0,0,Ramicane
y449,0,45.0,0,Ramicane
k403,0,45.0,0,Ramicane
c758,0,45.0,0,Ramicane
x402,0,45.0,0,Stelasyn
r811,0,45.0,0,Ramicane
a644,0,45.0,0,Ramicane
i177,0,45.0,0,Ramicane
g791,0,45.0,0,Ramicane
a520,0,45.0,0,Ramicane
u196,0,45.0,0,Ramicane
m546,0,45.0,0,Ramicane
w678,0,45.0,0,Ramicane
n364,0,45.0,0,Ramicane
s508,0,45.0,0,Ramicane
e662,0,45.0,0,Ramicane
z578,0,45.0,0,Ramicane
r921,0,45.0,0,Ramicane
a492,0,45.0,0,Stelasyn
w540,0,45.0,0,Stelasyn
v764,0,45.0,0,Stelasyn
z795,0,45.0,0,Naftisol
e291,0,45.0,0,Naftisol
e584,0,45.0,0,Naftisol
e213,0,45.0,0,Naftisol
